City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,Kongsberg,59.6652,9.6465,39.99,42,40,4.0,NO,2021-04-25 19:39:34
128,Santa Helena De Goias,-17.8136,-50.5969,84.47,29,58,2.15,BR,2021-04-25 19:39:35
129,Pangnirtung,66.1451,-65.7125,32.0,93,90,8.05,CA,2021-04-25 19:37:30
130,Cherskiy,68.75,161.3,7.2,93,96,4.54,RU,2021-04-25 19:39:37
131,Portland,45.5234,-122.6762,57.99,62,75,3.44,US,2021-04-25 19:38:06
132,Chokurdakh,70.6333,147.9167,19.27,94,100,14.25,RU,2021-04-25 19:39:38
133,Tateyama,34.9833,139.8667,53.6,50,75,17.27,JP,2021-04-25 19:39:38
134,Puerto Escondido,15.85,-97.0667,87.8,74,20,6.91,MX,2021-04-25 19:39:39
135,Liepaja,56.5419,21.0367,37.4,75,90,10.36,LV,2021-04-25 19:39:39
136,Krasnoborsk,61.5598,45.934,40.42,92,100,6.44,RU,2021-04-25 19:39:39
137,Broken Hill,-31.95,141.4333,50.0,71,0,6.6,AU,2021-04-25 19:39:40
138,Georgetown,5.4112,100.3354,81.0,89,20,3.44,MY,2021-04-25 19:36:57
139,Cabedelo,-6.9811,-34.8339,84.2,79,20,12.66,BR,2021-04-25 19:39:41
140,Suez,29.9737,32.5263,74.64,29,0,13.42,EG,2021-04-25 19:39:42
141,Yulara,-25.2406,130.9889,57.2,47,0,10.36,AU,2021-04-25 19:39:43
142,Palivere,58.9664,23.8911,39.0,89,100,8.01,EE,2021-04-25 19:39:43
143,Ponta Do Sol,32.6667,-17.1,60.01,86,51,7.0,PT,2021-04-25 19:39:44
144,Tiksi,71.6872,128.8694,22.96,96,100,1.72,RU,2021-04-25 19:39:35
145,Beloha,-25.1667,45.05,72.88,79,0,6.71,MG,2021-04-25 19:39:44
146,Edgewater,28.9889,-80.9023,87.01,54,40,11.5,US,2021-04-25 19:39:45
147,Sept-Iles,50.2001,-66.3821,44.6,53,20,9.22,CA,2021-04-25 19:39:45
148,Paracatu,-17.2222,-46.8747,83.48,44,7,1.25,BR,2021-04-25 19:39:45
149,La Ronge,55.1001,-105.2842,39.2,44,100,12.66,CA,2021-04-25 19:36:25
150,Anadyr,64.75,177.4833,23.0,100,90,2.24,RU,2021-04-25 19:38:43
151,Mount Gambier,-37.8333,140.7667,51.8,93,90,4.61,AU,2021-04-25 19:39:46
152,Ongandjera,-17.8833,15.0667,75.99,25,0,5.84,NA,2021-04-25 19:39:47
153,Ambilobe,-13.2,49.05,72.18,81,75,3.6,MG,2021-04-25 19:39:47
154,Marsabit,2.3284,37.9899,69.04,67,100,5.14,KE,2021-04-25 19:39:48
155,Kavieng,-2.5744,150.7967,81.39,76,100,3.09,PG,2021-04-25 19:39:49
156,Berlevag,70.8578,29.0864,30.2,69,75,8.05,NO,2021-04-25 19:39:49
157,Victoria,22.2855,114.1577,72.0,90,100,1.01,HK,2021-04-25 19:37:59
158,Bredasdorp,-34.5322,20.0403,55.4,88,100,2.3,ZA,2021-04-25 19:39:50
159,Hamilton,39.1834,-84.5333,64.0,42,40,10.36,US,2021-04-25 19:39:29
160,Basco,20.4487,121.9702,75.85,74,84,19.73,PH,2021-04-25 19:39:50
161,Henties Bay,-22.116,14.2845,63.0,90,24,1.01,NA,2021-04-25 19:39:50
162,Chapeco,-27.0964,-52.6183,64.4,82,75,4.5,BR,2021-04-25 19:39:51
163,Bella Union,-30.2752,-57.6007,67.95,40,0,10.98,UY,2021-04-25 19:39:51
164,San Quintin,30.4833,-115.95,64.24,64,24,17.49,MX,2021-04-25 19:39:52
165,Petropavlovsk-Kamchatskiy,53.0452,158.6483,33.8,100,75,4.47,RU,2021-04-25 19:38:34
166,Tilichiki,60.4667,166.1,27.79,92,98,4.61,RU,2021-04-25 19:39:52
167,Cidreira,-30.1811,-50.2056,70.0,69,83,14.12,BR,2021-04-25 19:39:53
